update_date,text,categories_list,num_categories,cluster
2020-11-16,shot clinical acronym expansion latent meaning cell latent meaning cell deep latent learns contextualized representation word combining local lexical metadata metadata refer granular global unique document id reliance metadata contextualized learning apropos clinical domain text semi structured express variation topic lmc shot clinical acronym expansion across datasets lmc outperforms diverse baseline fraction training learns clinically coherent representation metadata helpful lmc inference algorithm provides additional benefit,"['cs.CL', 'cs.LG']",2,3
2022-04-20,measurement particle correlation hadron collision belle measurement particle angular correlation function multiplicity collision sqrt gev reported text hadronic annihilation data collected belle detector kekb particle angular correlation function measured full relative azimuthal angle delta phi unit pseudorapidity delta eta defined either electron beam axis event shape thrust axis charged particle multiplicity measurement thrust axis analysis mostly outgoing quark pair determining reference axis sensitive region additional soft gluon emission anisotropic collective behavior observed either coordinate analysis near side jet correlation appear absent thrust axis analysis measurement compared prediction event generator expected constraint phenomenological model energy regime,['hep-ex'],1,1
2022-08-04,collective proposal distribution nonlinear mcmc sampler mean field fast implementation decade linear mcmc method arisen appealing convergence speed efficiency practical implementation theoretical remain linear generalization metropolis hastings algorithm proposal depends law simulate dynamic mean field limit interacting particle turn understood generalisation metropolis hastings algorithm population particle double limit iteration particle algorithm converges gpu implementation example particularly stable multimodal example converges faster classical method,"['math.ST', 'math.PR', 'stat.ME', 'stat.TH']",4,4
2022-08-25,class lrcs parity check matrix code information symbol locally repairable code big lrc big information coordinate achieved least disjoint repair set containing coordinate considers class lrcs repair contains exactly parity coordinate explore systematic code term standard parity check matrix structural feature parity check matrix showing connection membership matrix minimum distance optimality code parity check matrix proof bound associated code placed addition several construction lrcs help cayley table field generalize ary lrcs ary lrcs,"['cs.IT', 'cs.DM', 'math.IT']",3,2
2018-09-18,object sensitive deep reinforcement learning deep reinforcement learning become popular year showing superiority visual input task playing atari game robot navigation although object image element considers enhancing deep reinforcement learning object characteristic incorporate object recognition processing deep reinforcement learning model adapted existing deep reinforcement learning framework result experiment atari game object saliency map visually action made deep reinforcement learning agent,"['cs.LG', 'cs.CV', 'stat.ML']",3,3
2021-09-14,double constant matrix centering matrix equicorrelation matrix application examines property symmetric square matrix constant main diagonal element another constant diagonal element matrix subclass circulant matrix subclass toeplitz matrix encompasses useful matrix centering matrix equicorrelation matrix arise statistical application examine class matrix eigendecomposition property basis look property centering matrix equicorrelation matrix statistic matrix,"['math.ST', 'stat.TH']",2,2
2021-06-08,semi automated creation density functional tight binding model leveraging chebyshev polynomial force field density functional tight binding dftb attractive accelerated quantum simulation condensed matter computational efficiency standard density functional approach dftb model individual system especially metallic interfacial system bonding arrangement lead change electronic state regard created rapid screening determining systematically improvable dftb interaction potential yield transferable model condition leverage reactive molecular dynamic force field body interaction represented linear combination chebyshev polynomial allows creation multi center representation relative ease requiring small investment initial dft calculation focused workflow tih relatively small training unit cell sized calculation yield bulk surface property easy yield dftb model broad thermodynamic condition physical chemical property interrogate historically reliance theoretical approach interpretation validation result,['cond-mat.mtrl-sci'],1,7
2018-02-22,status sterile neutrino fit global data short baseline neutrino oscillation experiment observed anomalous excess neutrino energy hint towards existence additional neutrino mass splittings true additional sterile interacting neutrino state neutrino would required hand parameter allowed space limited experiment seen anomaly model accommodate additional neutrino towards fitting model global delta oscillation data latest result fit,"['hep-ex', 'hep-ph']",2,1
2019-09-02,featurevec distributional semantic modelling human knowledge norm datasets human knowledge collected survey human volunteer yield highly interpretable model word meaning play neurolinguistic semantic cognition datasets limited size practical obstacle associated exhaustively listing property word contrast development distributional modelling technique availability vast text corpus allowed researcher vector space model word meaning lexicon come interpretable human information word meaning mapping human knowledge onto distributional semantic space adapts wordvec architecture modelling feature give measure affinity semantic space make easy ranking candidate human semantic property arbitrary word performs several evaluation task could develop sampling technique extend existing norm datasets,['cs.CL'],1,3
2020-06-12,neural ordinary differential equation manifold normalizing flow powerful obtaining reparameterizable sample complex multimodal distribution unfortunately approach fall short underlying space trivial topology basic geometry normalizing flow euclidean space neural ode great promise yet suffer limitation idea differential geometry geometric control neural ode extended smooth manifold vector field parameterizing flexible class invertible mapping space gradient learning define building normalizing flow manifold,"['stat.ML', 'cs.LG']",2,2
2019-05-10,deep reinforcement learning decorrelation learning dimensional data reinforcement learning deep reinforcement learning drl deep network dqn achieves remarkable success computer game learning deeply encoded convolution network yet learning drl algorithm key insight feature learned drl algorithm highly correlated interferes learning adding regularized loss penalizes correlation latent feature slight computation decorrelate feature represented deep neural network incrementally atari game regularization factor decorrelation algorithm term human normalized score dqn performs dqn game close tie lost slightly game empirical result decorrelation applies quantile regression dqn dqn boost experiment losing game decorelation algorithm win dqn dqn fined tuned regularization factor,"['cs.LG', 'cs.AI', 'stat.ML']",3,0
2019-07-17,control excitonic absorption thickness variation layer gase control thickness gase level individual layer corresponding optical absorption highly sensitive differential transmission measurement suppression excitonic transition observed layer smaller critical initio modelling link behavior change band lead formation valence band shaped inverted mexican hat thin gase thickness controlled modulation optical property provides attractive resource development functional optoelectronic device material,"['cond-mat.mes-hall', 'cond-mat.mtrl-sci']",2,7
2022-04-07,computation dependent dirac equation physic informed neural network compute dependent dirac equation physic informed neural network pinns powerful tool scientific machine learning avoiding approximate derivative differential operator pinns search solution parameterized deep neural network whose derivative space automatic differentiation computational come solve dimensional optimization problem stochastic gradient method train network point specifically pinns algorithm key property algorithm applied dirac equation physical framework,['physics.comp-ph'],1,0
2018-10-24,exploratory lattice qcd rare kaon decay bar ref presented result exploratory lattice qcd computation distance contribution bar decay amplitude detail calculation includes implementation technique bar decay amplitude dominated short distance contribution computed perturbation required perturbative input relatively factor semileptonic kaon decay distance contribution target expected branching ratio demonstrates feasibility lattice qcd computation bar decay amplitude distance calculation small lattice time unphysical pion kaon charm quark mass mev k mev c overline mathrm mbox gev mev technique presented readily applied realistic calculation,"['hep-lat', 'hep-ex', 'hep-ph']",3,1
2021-03-11,asymptotic confidence interval policy evaluation primal dual bound policy evaluation ope estimating expected reward policy offline data previously collected policy therefore ope key step applying reinforcement learning domain medical treatment interactive data collection expensive unsafe observed data tends noisy limited essential uncertainty quantification estimation applying ope stake decision considers constructing asymptotic confidence interval infinite horizon policy evaluation remains develop practical algorithm primal dual optimization leverage kernel bellman loss kbl feng martingale concentration inequality kbl applicable dependent data unknown mixing condition algorithm make minimum assumption data class work behavior agnostic setting data collected mix arbitrary unknown behavior policy empirical result clearly advantage existing method,"['cs.LG', 'stat.ML']",2,4
2020-01-15,disseminating hci perceived hazard opportunity innovation mass medium afford researcher critical opportunity disseminate finding trend public yet researcher perceive miscommunicated mass medium generating unintended understanding hci public grounded analysis interview hci researcher miscommunication occur origin along socio technical infrastructure medium production pipeline mpp science result yield researcher perceived hazard disseminating mass medium strategy fostering communication conclude implication augmenting innovating mpp technology,"['cs.HC', 'cs.MM']",2,1
2019-02-01,gravity quantum equation inspired walking droplet experiment suggest macroscopic toy energy generated uniform pulsation medium pulsation transverse standing oscillation elastic medium tends support inspired walking droplet experiment submerged barrier poincar lorentz covariant formalization cause inconsistency contradiction contradiction solved covariant formulation assuming relation metric associated elastic medium pulsation medium calculation newtonian metric constant schr odinger equation external broglie bohm guidance formula iii energy particle direct counterpart relativity quantum mechanic wave particle free fall harmonic energy gravitational rooted pulsation medium latter conceivable natural clock make easy understand varies place place,"['physics.class-ph', 'quant-ph']",2,5
2018-08-08,exceptional precision exceptional sensor sensor resonance exceptional point eps suggested vastly improved sensitivity extraordinary scaling complex frequency splitting initially degenerate mode root perturbation resulting quantum limited signal noise eps proportional perturbation comparable sensor providing precision complex frequency splitting close eps therefore suited estimate precision sensor underlying reason counter intuitive mode field eigenvectors equal mode changing perturbation,['physics.app-ph'],1,7
