categories,update_date,concat
math.CT cs.CL,2007-05-23,resource modality game semantics description resource game semantics never achieved simplicity precision linear logic misleading conception belief linear logic primitive game semantics advocate instead contrary game semantics conceptually primitive linear logic starting revised point view design categorical model resource game semantics construct arena game model usual notion bracketing extended multi bracketing order capture various resource policy linear afne exponential
math.CV math.DG,2007-05-23,bishop surface vanishing bishop invariant derive complete set invariant formal bishop surface near point complex tangent vanishing bishop invariant action formal transformation prove modular space bishop surface vanishing bishop invariant fixed moser invariant sinfty infinite dimension also prove equivalence class germ generic real analytic bishop surface near complex tangent vanishing bishop invariant determined finite part taylor expansion defining equation answer negative problem raised j moser joint work webster work
math.OA,2007-05-23,subfactors hadamard matrix complex hadamard matrix h one associate spin model commuting square therefore hyperfinite subfactor standard invariant subfactor capture certain grouplike symmetry h gain insight compute first relative commutants subfactors hadamard matrix small dimension also show subfactors arising dita type matrix intermediate subfactors thus standard invariant extra structure besides jones projection
astro-ph,2007-05-23,sensitivity solar offlimb line profile electron density stratification velocity distribution anisotropy effect electron density stratification intensity profile h lyalpha line vi mg x doublet formed solar coronal hole investigated employ analytical model large scale coronal magnetic field provides good representation corona minimum solar activity use massflux conservation equation determine outflow speed solar wind location solar corona take account integration along line sight los main assumption make anisotropy kinetic temperature coronal specie considered find distance greater rsun solar surface width emitted line vi mg x sensitive detail adopted electron density stratification however lyalpha pure radiative line hardly affected calculated total intensity lyalpha vi doublet depend lesser degree density stratification comparable observed one considered density model width observed profile lyalpha mg x well reproduced considered electron density stratification vi doublet stratification give satisfying result density deduced soho data result vi profile whose width intensity ratio relatively close value observed uvcs although isotropic velocity distribution employed density profile also reproduce considered observables good accuracy thus need strong anisotropy velocity distribution ie temperature anisotropy clear cut previous investigation uvcs data suggested
cs.DB,2007-05-23,worstcase background knowledge privacypreserving data publishing recent work shown necessity considering attacker background knowledge reasoning privacy data publishing however practice data publisher know background knowledge attacker posse thus important consider worstcase paper initiate formal study worstcase background knowledge propose language express background knowledge data provide polynomial time algorithm measure amount disclosure sensitive information worst case given attacker specified number piece information language also provide method efficiently sanitize data amount disclosure worst case le specified threshold
hep-th,2007-05-23,noboundary probability universe starting top hill use hartlehawking noboundary proposal make comparison probability universe starting near top hill effective potential context topdown cosmology calculation find universe doesnt start top
cs.OS cs.CR,2007-05-23,virtualization doubleedged sword virtualization became recently hot topic dormant twenty year meantime almost forgotten virtual machine perfect isolating environment seems looking principle lesson already learnt earlier first virtualized system exposed real life usage contemporary virtualization software enables instant creation destruction virtual machine host live migration one host another execution history manipulation etc feature useful practice also causing headache among security specialist especially current hostile network environment present contribution discus principle potential benefit risk virtualization deja vu perspective related previous experience virtualization mainframe era
hep-ex,2007-05-23,evidence ddbar mixing babar present evidence ddbar mixing kpi decay fb ee collidingbeam data recorded near sqrts gev babar detector pepii storage ring slac find mixing parameter xprime pm stat pm syst time yprime pm stat pm syst time correlation result inconsistent nomixing hypothesis significance standard deviation measure rrm ratio doubly cabibbosuppressed cabibbofavored decay rate pm stat pm syst find evidence cp violation
astro-ph,2007-05-23,investigation energy spectrum egret gammaray source extensive air shower experiment ultrahighenergy uhe e tev extensive air shower eas monitored period five year using small array scintillation detector tehran iran data analyzed take account dependence source count zenith angle varying thickness overlaying atmosphere shower count rate extremely dependent zenith angle calendar year different source come field view array varying zenith angle different effective observation time equivalent zenith day high energy gammaray source egret third catalogue observed data analyzed using excess method upper limit obtained egret source investigated ea event rate source obtained flux using parameter experiment result simulation finally investigated gammaray spectrum uhe range using flux reported flux egret source
math.OA,2007-05-23,classification noncommuting quadrilateral factor quadrilateral factor irreducible inclusion factor n subset intermediate subfactors p q p q generate intersection p q n investigate structure noncommuting quadrilateral factor elementary inclusion psubset qsubset nsubset p nsubset q supertransitive particular classify quadrilateral index elementary subfactors le equal also compute angle p q quadrilateral coming alphainduction asymptotic inclusion
